bank,concept,current_value,forecast_2026_q4,cagr
Bank of America,NetIncome,7396000000.0,16071513446.128227,67.76701690271946
Capital One,NetIncome,1404000000.0,1609250223.3761654,9.52274333997618
Charles Schwab,NetIncome,1909000000.0,3301463562.994714,44.07890086862698
Citigroup,NetIncome,4064000000.0,8196713664.929401,59.633502763465685
Goldman Sachs,NetIncome,4738000000.0,12265737775.422039,88.53807980571125
JPMorgan Chase,NetIncome,14643000000.0,46393428726.540016,115.7169504073971
Morgan Stanley,NetIncome,4315000000.0,11739647672.624014,94.88698732216088
U.S. Bancorp,NetIncome,1709000000.0,4395589297.003085,87.72265864872905
Wells Fargo,NetIncome,4894000000.0,13422939566.809937,95.93970352607468
Bank of America,TotalAssets,3349424000000.0,3482140571680.3833,2.6244354312322082
Capital One,TotalAssets,493604000000.0,501930994528.27673,1.121513861479051
Charles Schwab,TotalAssets,462903000000.0,443565974434.0008,-2.804650444806367
Citigroup,TotalAssets,2571514000000.0,3335241292535.0474,18.93022594320959
Goldman Sachs,TotalAssets,1766181000000.0,-3.881570349278722e+263,
JPMorgan Chase,TotalAssets,4357856000000.0,4859144097592.434,7.5287511451253675
Morgan Stanley,TotalAssets,1300296000000.0,1401495846569.7803,5.123479114568874
PNC Financial Services,TotalAssets,554722000000.0,475069353147.02576,-9.817746545468964
U.S. Bancorp,TotalAssets,676489000000.0,-1281274047175.0583,
Wells Fargo,TotalAssets,1950311000000.0,1830695647465.8733,-4.131738352903724
Bank of America,Deposits,1989564000000.0,2001859759096.937,0.41158528086016055
Capital One,Deposits,367464000000.0,387512988455.7826,3.605062461739572
Charles Schwab,Deposits,246160000000.0,185147991655.80994,-17.29450825620591
Citigroup,Deposits,1316410000000.0,1362918222149.6394,2.3416505442909408
Goldman Sachs,Deposits,471134000000.0,520750077599.137,6.903009382523506
JPMorgan Chase,Deposits,2495877000000.0,2464747819657.7295,-0.8332208173346123
Morgan Stanley,Deposits,381563000000.0,404869433290.0587,4.031730646588838
PNC Financial Services,Deposits,422915000000.0,405255108249.2218,-2.8035792093107914
U.S. Bancorp,Deposits,512525000000.0,-3249116957154.478,
Wells Fargo,Deposits,1361728000000.0,1355233847690.873,-0.31819007937451405
